list_order,code,market,fund_name,latest_updated_prospectus_date,latest_prospectus_any_date,latest_product_summary_date,pcf_asof,pcf_rows,pcf_cash_flag,pcf_has_159900,prospectus_basis,creation_buy_deadline,redemption_sell_deadline,subscription_cash_substitution_mode,subscription_cash_substitution_settlement_time,subscription_fund_units_settlement_time,subscription_fund_units_available_time,cash_difference_announcement_time,cash_difference_clearing_time,cash_difference_settlement_time,subscription_cash_substitution_refund_time,redemption_fund_units_settlement_time,redemption_cash_substitution_mode,redemption_cash_substitution_arrival_time,rtgs_subscription,rtgs_basis,rtgs_note,same_day_netting_manager,same_day_netting_evidence,cash_difference_schedule,creation_cash_sub_schedule,redemption_cash_sub_schedule,overall_status,evidence_url,prospectus_file,prospectus_text_file,open_question
11,159117,SZ,鹏华港股通低波红利ETF,2026-08-06,2026-08-06,2026-08-06,2026-09-09,51,必须,YES,updated,T日内,T日内,日间 RTGS/实时逐笔全额；日间未完成时日终逐笔全额非担保交收,T 日,T 日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T 日,T+2 日,T+3 日（指港股通交易日）内,T 日,代收代付,T 日后的第 3 个港股通交易日后的 2 个工作日内,PASS,fund_document,《业务规则》和参与各方相关协议的有关规定。 本基金现金申购业务中的现金替代采用实时逐笔全额结算 （ Real Time Gross Settlement，简称 RTGS）模式；赎回业务涉及的现金替代采用代收代付处理；申购、赎回业务涉及的现金差额和现金替代退补款采用代收代付处理。 （1）申购的清算交收投资者 T 日提交的申购申请受理后，如交易记录已勾单且申购资金足额的，登记机构在 T 日日间实时办理基金份额及现金替代的交收；T 日日间未进行勾单确认或日间资金不足的，登记机构在 T 日日终根据资金是否足额办理基金份额及现金替代的清算交收，并将结果发送给基金管理人、申购赎回代理券商和基金托管人。基金管理人与申购赎回代理券商在 T+2 日办理现金差额的交收。 （2）赎回的清算交收投资者,PENDING,risk_or_non_operational,T+?清算；T+2交收,T+3 日（指港股通交易日）内，基金管理人将应退款和补款的明细及汇总数据发送给登记机构，登记机构办理现金替代多退少补资金的清算，并将结果发送给相关申购赎回代理券商和基金托管人,T 日赎回申请，通常情况下 T 日内基金管理人根据赎回规模进行组合证券的代理卖出,PENDING,"https://fund.eastmoney.com/gonggao/159117,AN202608051827681282.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159117/159117_更新招募说明书_20260806.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159117/159117_更新招募说明书_20260806.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
12,159125,SZ,招商国证港股通科技ETF,,2025-09-30,,2026-09-09,31,必须,YES,initial_only,T日内,T日内,招募书未直接说明,T 日,T 日,T日（T日日间完成 RTGS）；T+1日（T日日终逐笔全额非担保交收）,T+1日,T+1 日,T 日,T 日后的 3 个港股通交收日内,T 日,招募书未直接说明,自有效赎回申请之日起 7 个工作日内,PASS,fund_document,投资者当日申购的基金份额，清算交收完成招商国证港股通科技交易型开放式指数证券投资基金招募说明书 37 后可卖出和赎回，即 T 日申购的 ETF 份额且日间完成 RTGS（实时逐笔全额结算）交收的，T 日可卖出与赎回，而 T 日申购的 ETF 份额且日终完成逐笔全额非担保交收的，T+1 日方可卖出和赎回；T 日竞价买入的基金份额，T 日可以卖出或赎回；T 日大宗买入的基金份额，T 日可以大宗卖出，T+1 日可以竞价卖出或赎回。 3、申购和赎回申请的清算交收与登记本基金申购和赎回过程中涉及的申购、赎回对价和基金份额的交收适用《业务规则》和参与各方相关协议的有关规定。 投资者 T 日现金申购成功后，正常情况下，登记结算机构在 T 日为投资者办理基金份额及现金替代的交收，在 T+1 日办,PENDING,not_found,T+1清算；T+1交收,T 日后的 3 个港股通交收日内，基金管理人将应退款或补款与相关申购赎回代理机构办理交收，当交收期间出现港股通交易日为非港股通交收日时，款项交收日期顺延,T 日赎回申请，T 日内基金管理人根据所卖出的被替代组合证券的实际单位卖出成本、实际卖出的相关费用、未卖出的被替代组合证券的 T 日收盘价（折算为人民币，折算汇率采用当天的估值汇率,PENDING,"https://fund.eastmoney.com/gonggao/159125,AN202509291752854081.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159125/159125_招募说明书_20250930.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159125/159125_招募说明书_20250930.txt,东财暂未找到更新招募书，继续监测；向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
13,520770,SH,建信恒指港股通ETF,,2025-12-01,,2026-09-09,87,必须,NO,initial_only,T日内,T日内,日间 RTGS/实时逐笔全额；日间未完成时日终逐笔全额非担保交收,T日日间 RTGS/实时逐笔全额交收；日间未完成时 T日日终交收,T 日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T+2 日内,T+2 日内,T 日后的两个工作日内,T 日,代收代付,自有效赎回申请之日起 7 个开放日内,PASS,fund_document,则并适用于本基金的，则按照新的规则执行。 本基金现金申购业务中的现金替代采用实时逐笔全额结算（ Real Time Gross Settlement，以下简称 RTGS）模式；赎回业务中的现金替代采用代收代付处理；申购、赎回业务涉及的现金差额和现金替代退补款采用代收代付处理。 1）申购的清算交收投资者 T 日提交的申购申请受理后，日间完成 RTGS 交收部分，登记机构在 T 日日间实时办理基金份额登记及现金替代的交收；T 日日间未完成 RTGS 交收部分， 登记机构在 T 日日终为该投资者办理基金份额登记及现金替代的清算交收， 并将结果发送给基金管理人、申购赎回代理券商和基金托管人。基金管理人在 T+2 日内办理现金差额的清算交收。 2）赎回的清算交收投资者 T 日提交的现金赎回,PENDING,not_found,T+2清算；T+2交收,T 日后的两个工作日内，基金管理人将应退款或补款与相关申购赎回代理机构办理交收,T 日赎回申请，T 日内基金管理人根据所卖出的被替代组合证券的实际单位卖出成本、实际卖出的相关费用、未卖出的被替代组合证券的 T 日收盘价（折算为人民币，折算汇率采用当天的估值汇率，基金管理人可根据情况调整所使用的的折算汇率，并及时公告,PENDING,"https://fund.eastmoney.com/gonggao/520770,AN202512011791679107.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520770/520770_招募说明书_20251201.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520770/520770_招募说明书_20251201.txt,东财暂未找到更新招募书，继续监测；向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
14,159118,SZ,华夏标普港股通低波红利ETF,2026-08-18,2026-08-18,2026-08-18,2026-09-09,51,必须,YES,updated,T日内,T日内,招募书未直接说明,T 日,T 日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T+1日,T+2 日内,T 日后的第 2 个港股通交易日后的 2 个工作日内,T 日,代收代付,T 日后的第 3 个港股通交易日后的 2 个工作日内,PASS,fund_document,司及相关证券交易所最新的规则和参与各方相关协议的有关规定。 本基金申购业务采用实时逐笔全额结算（Real Time Gross Settlement，以下简称 RTGS） 模式；赎回业务涉及的现金替代可采用代收代付处理；申购、赎回业务涉及的现金差额和现金替代退补款可采用代收代付处理。 （1）申购的清算交收投资者 T 日现金申购后，如交易记录已勾单且申购资金足额的，登记机构在 T 日日间实时办理基金份额及现金替代的交收；T 日日间未进行勾单确认或日间资金不足的，登记机构在 T 日日终根据资金是否足额办理基金份额及现金替代的清算交收，并将结果发送给基金管理人、申购赎回代理机构和基金托管人。基金管理人在 T+2 日内办理现金差额的交收。 （2）赎回的清算交收投资者 T 日赎回申请受理后,PENDING,risk_or_non_operational,T+?清算；T+2交收,T 日在证券交易所无交易的，取最近交易日的收盘价,T 日赎回申请，T 日内，基金管理人有权根据赎回规模进行组合证券的代理卖出,PENDING,"https://fund.eastmoney.com/gonggao/159118,AN202608171828060212.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159118/159118_更新招募说明书_20260818.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159118/159118_更新招募说明书_20260818.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
15,159850,SZ,华夏恒生中国企业ETF(QDII),2026-07-20,2026-07-20,2026-05-29,2026-09-09,51,必须,YES,updated,T+1,T+1,招募书未直接说明,T 日,T 日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T+2 日,T+3 日,T+3 日（指深圳证券交易所和香港交易所的共同交易日）内,T 日,招募书未直接说明,T+7 日（指开放日）内,PASS,applicable_SZ_cross_border_rule,招募书未直接出现 RTGS；按适用的交易所/中国结算跨境 ETF 规则，日间 RTGS 交收，按项目口径 PASS,PENDING,risk_or_non_operational,T+3清算；T+3交收,T+1 日（指深圳证券交易所和香港交易所的共同交易日）日终，基金管理人已买入的证券，依据替代金额与被替代证券的实际买入成本（包括买入价格与相关交易费用）的差额，确定基金应退还投资者或投资者应补交的款项,见招募书处理程序,PENDING,"https://fund.eastmoney.com/gonggao/159850,AN202607191827110605.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159850/159850_更新招募说明书_20260720.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159850/159850_更新招募说明书_20260720.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单；招募书未直接写 RTGS，保留适用规则来源
16,526030,SH,汇添富中证港股通信息技术综合ETF,,2026-05-25,,2026-09-09,67,必须,NO,initial_only,T日内,T日内,招募书未直接说明,T日,T日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T+1日内,T+2日内,T日（指港股通交易日）后的第3个港股通交收日后的2个工作日内,T日,代收代付,T日（指港股通交易日）后的第3个港股通交收日后的2个工作日内,PASS,fund_document,与产品风险之间的匹配检验。 根据本基金现行适用的清算交收和申赎处理规则， 投资者当日申购的基金份额，清算交收完成后方可卖出和赎回，即T日申购的基金份额且日间完成实时逐笔全额结算（Real Time Gross Settlement）交收的，T日可卖出和赎回，而T 日申购的基金份额且日终完成逐笔全额非担保交收的，T+1日方可卖出和赎回。 投资者投资于本基金前请认真阅读证券交易所和登记机构关于ETF的相关业务规则及其不时的更新，确保具备相关专业知识、清楚了解相关规则流程后方可参与本基金的申购、赎回及交易。投资者一旦认购、申购或赎回本基金，即表示对基金认购、 申购和赎回所涉及的基金份额的证券变更登记方式以及申购赎回所涉及现金替代、现金差额等相关的交收方式已经认可。 投资有风险，投资者在进行,PASS,fund_specific_explicit,T+2清算；T+2交收,T日（指港股通交易日） 在证券交易所无交易的，取最近交易日的收盘价,T日（指港股通交易日）内，基金管理人根据赎回申请代投资者卖出被替代证券,PENDING,"https://fund.eastmoney.com/gonggao/526030,AN202605251822845498.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/526030/526030_招募说明书_20260525.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/526030/526030_招募说明书_20260525.txt,东财暂未找到更新招募书，继续监测
17,513660,SH,华夏沪港通恒生ETF,2026-05-29,2026-05-29,2026-05-29,2026-09-09,91,必须,NO,updated,T日内,T日内,招募书未直接说明,T 日,T 日,T日（基金份额交收完成后；招募书未另行说明可卖出时点）,T+1日,T 日,T+2 日内,T 日后的第 2 个工作日内,T 日,代收代付,自有效赎回申请之日起 7 个开放日内,PASS,fund_document,适用相关业务规则和参与各方相关协议及其不时修订的有关规定。 本基金申购业务采用实时逐笔全额结算（Real Time Gross Settlement，以下简称 RTGS） 模式； 赎回业务涉及的现金替代可采用代收代付处理； 申购、 赎回业务涉及的现金差额和现金替代退补款可采用代收代付处理。 1）申购的清算交收投资者 T 日现金申购后，如交易记录已勾单且申购资金足额的，登记结算机构在 T 日日间实时办理基金份额及现金替代的交收；T 日日间未进行勾单确认或日间资金不足的， 登记结算机构在 T 日日终根据资金是否足额办理基金份额及现金替代的清算交收，并将结果发送给基金管理人、申购赎回代理券商和基金托管人。基金管理人在 T+2 日内办理现金差额的交收。 2）赎回的清算交收投资者 T 日赎,PENDING,risk_or_non_operational,T+1清算；T+2交收,T 日后的第 2 个工作日内， 基金管理人将应退款或补款与相关申购赎回代理机构办理交收,T 日赎回申请，T 日内， 基金管理人根据赎回规模进行组合证券的代理卖出， 通常情况下代理卖出在T 日接近收盘时点完成,PENDING,"https://fund.eastmoney.com/gonggao/513660,AN202605281822956533.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513660/513660_更新招募说明书_20260529.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513660/513660_更新招募说明书_20260529.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
18,520990,SH,景顺长城中证国新港股通央企红利ETF,2026-07-29,2026-07-29,2026-07-29,2026-09-09,49,必须,NO,updated,T日内,T日内,招募书未直接说明,T日日间 RTGS/实时逐笔全额交收；日间未完成时 T日日终交收,待人工复核,T日（T日日间完成 RTGS）；T+1日（T日日终逐笔全额非担保交收）,待人工复核,待人工复核,待人工复核,T 日后的三个港股通交易日内,待人工复核,招募书未直接说明,待人工复核,PASS,fund_document,证券交易所上市。根据本基金现行适用的清算交收和申赎处理规则，投资者当日申购的基金份额，清算交收完成后方可卖出和赎回， 即 T 日申购的 ETF 份额且日间完成 RTGS（实时逐笔全额结算）交收，T 日可卖出与赎回，而 T 日申购的 ETF 份额且日终完成逐笔全额非担保交收的，T+1 日方可卖出和赎回；T 日买入的基金份额，T 日可以赎回或卖出。由于登记机构对现金替代采取非净额结算交收模式，当投资者赎回申请被登记机构确认后，被赎回的基金份额即被记减，但此时投资者尚未收到赎回现金替代款。投资者投资本基金时需具有证券账户，证券账户是指上海证券交易所 A 股账户或上海证券交易所证券投资基金账户。 （九）投资人在投资本基金前，请认真阅读本招募说明书，全面认识本基金产品的风险收益特征和产品特,PENDING,risk_or_non_operational,待人工复核,T 日后的三个港股通交易日内，基金管理人将应退款或补款与相关申购赎回代理券商办理交收，当交收期间出现港股通交易日为非港股通交收日时， 款项交收日期顺延,T 日赎回申请，基金管理人有权在 T 日内任意时刻代投资者卖出小于等于被替代证券数量的任意数量的被替代证券,PENDING,"https://fund.eastmoney.com/gonggao/520990,AN202607281827424502.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520990/520990_更新招募说明书_20260729.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/520990/520990_更新招募说明书_20260729.txt,向基金管理人/托管运营确认同日申赎是否按证券维度净额下单
19,159333,SZ,万家中证港股通央企红利ETF,2025-12-19,2025-12-19,2026-01-22,2026-09-09,51,必须,YES,updated,T日内,T日内,日间 RTGS/实时逐笔全额；日间未完成时日终逐笔全额非担保交收,T日,T日,T日（T日日间完成 RTGS）；T+1日（T日日终逐笔全额非担保交收）,T+1日,T+1日内,T+2日内,T日后的5个工作日内,T日,代收代付,自有效赎回申请之日起7 个工作日内,PASS,fund_document,募说明书的“风险揭示”部分。 根据本基金现行适用的清算交收和申赎处理规则，投资者当日申购的基金份额，清算交收完成后方可卖出和赎回，即T日申购的基金份额且日间完成RTGS（实时逐笔全额结算）交收，T日可卖出和赎回，而T日申购的基金份额且日终完成逐笔全额非担保交收，T+1日方可卖出和赎回；T日竞价买入的基金份额，T日可以赎回和卖出；T日大宗买入的基金份额，T日可以大宗卖出，T+1日可以竞价卖出或赎回。 投资者投资于本基金前请认真阅读证券交易所及登记机构的相关业务规则及其不时的更新，确保具备相关专业知识、清楚了解相关规则流程后方可参与本基金的认购、申购、赎回及交易。投资者一旦认购、申购或赎回本基金，即表示对基金认购、申购和赎回所涉及的基金份额的证券变更登记方式以及申购赎回所涉及现金替代,PASS,fund_specific_explicit,T+1清算；T+2交收,T日后的5个工作日内，基金管理人将应退款或补款与相关申购赎回代理机构办理交收,T日根据赎回申请代投资者卖出被替代证券,PASS,"https://fund.eastmoney.com/gonggao/159333,AN202512181803115765.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159333/159333_更新招募说明书_20251219.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159333/159333_更新招募说明书_20251219.txt,
20,513200,SH,易方达中证港股通医药卫生综合ETF,2026-06-01,2026-06-01,2026-08-11,2026-09-09,49,必须,NO,updated,T日内,T日内,招募书未直接说明,T 日,T 日,T日（T日日间完成 RTGS）；T+1日（T日日终逐笔全额非担保交收）,T+1日,T+1 日内,T+2 日,T 日后的三个港股通交易日内,T 日收市后,招募书未直接说明,自有效赎回申请之日起 7 个开放日内,PASS,fund_document,基金产品资料概要。 5、根据本基金现行适用的清算交收和申赎处理规则，投资者当日申购的基金份额，清算交收完成后方可卖出和赎回，即 T 日申购的基金份额且日间完成 RTGS（实时逐笔全额结算） 交收的，T 日可卖出和赎回， 而T 日申购的基金份额且日终完成逐笔全额非担保交收的， T+1 日方可卖出和赎回；T 日买入的基金份额，T 日可以赎回或卖出。 投资者投资于本基金前请认真阅读证券交易所和登记结算机构关于 ETF 的相关业务规则及其不时的更新，确保具备相关专业知识、清楚了解相关规则流程后方可参与本基金的申购、赎回及交易。投资者一旦申购或赎回本基金，即表示对基金申购和赎回所涉及的登记方式以及申购赎回所涉及现金替代、现金差额等相关的交收方式及业务规则已经认可。 6、基金的过往业绩并不预,PASS,fund_specific_explicit,T+1清算；T+2交收,T 日后的三个港股通交易日内， 基金管理人将成份证券的应退款或补款与相关申购赎回代理券商办理交收， 当交收期间出现港股通交易日为非港股通交收日时， 款项交收日期顺延,T 日内卖出组合证券中被替代的成份证券,PASS,"https://fund.eastmoney.com/gonggao/513200,AN202605311823107596.html",/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513200/513200_更新招募说明书_20260601.pdf,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/513200/513200_更新招募说明书_20260601.txt,
