sample_code,check_id,check_item,conclusion,status,evidence_grade,evidence_locator,as_of,open_question
159518,A01,最新更新招募说明书,"2026-01-23更新招募说明书；公告ID AN202601221818277737",PASS,A,"https://fund.eastmoney.com/gonggao/159518,AN202601221818277737.html",2026-09-09,
159518,A02,最新基金产品资料概要,"2026-06-11基金产品资料概要更新，不等同于更新招募说明书",PASS,A,"https://api.fund.eastmoney.com/f10/JJGG?fundcode=159518&type=1",2026-09-09,
159518,A03,基金分类,"跨境ETF；境外证券以现金为对价申赎",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,
159518,A04,当前PCF暂存,"2026-09-09第三方镜像显示含159900申赎现金；美国成份股现金替代标志为允许",PASS_WITH_WARNING,C,/Users/ellis/工具程序开发/港股通逐标的分析/临时数据/159518/159518_pcf_2026-09-09_components.csv,2026-09-09,回源基金管理人或深交所PCF原文件
159518,A05,补券/代买底层证券时间,"申购补券窗口为T日内买入被替代成份证券；T日日终仍未买齐的部分按T日收盘价参与退补款，不是T+3才补券。赎回对应T日内卖出",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,
159518,A06,现金申购RTGS,"明确提到T日日间RTGS交收；按项目验收标准即PASS",PASS,A,https://www.chinaclear.cn/zdjs/szfgsgg/202412/8d2f0a5fa6554760a48c86de36d39e75/files/2.%E4%B8%AD%E5%9B%BD%E8%AF%81%E5%88%B8%E7%99%BB%E8%AE%B0%E7%AE%97%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E6%B7%B1%E5%9C%B3%E5%88%86%E5%85%AC%E5%8F%B8%E4%BA%A4%E6%98%93%E5%9E%8B%E5%BC%80%E6%94%BE%E5%BC%8F%E5%9F%BA%E9%87%91%E7%99%BB%E8%AE%B0%E7%BB%93%E7%AE%97%E4%B8%9A%E5%8A%A1指南.pdf,2026-09-09,
159518,A07,现金赎回交收,"赎回份额T日逐笔全额非担保交收；现金替代采用代收代付",PASS,A,https://www.chinaclear.cn/zdjs/szfgsgg/202412/8d2f0a5fa6554760a48c86de36d39e75/,2026-09-09,
159518,A08,现金差额清算交收,"T+2清算，T+3交收",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,
159518,A09,申购现金替代退补款,"T+3日内发送明细；数据发送后第1个工作日内交收",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,
159518,A10,赎回现金替代款,"T+6日内发送明细；数据发送后第1个工作日内交收；自有效赎回日起10个工作日内划付投资者",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,
159518,A11,中国结算层面同日申赎轧差,"跨境ETF申购份额/现金替代为RTGS或逐笔全额非担保；赎回份额逐笔全额非担保；不能写成统一轧差",PASS,A,https://www.chinaclear.cn/zdjs/szfgsgg/202412/8d2f0a5fa6554760a48c86de36d39e75/,2026-09-09,
159518,A12,基金管理人底层交易层面的同日申赎轧差,"159518最新招募书未明示同日申赎按净额轧差；不得自行推断",PENDING,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,向嘉实基金/招商银行托管运营确认证券维度净申赎轧差及执行时点
159518,A13,基金管理人PCF原始来源,"嘉实PCF页暂显示2024-08-23，未能作为2026-09-09实时原始来源",PASS_WITH_WARNING,A,https://www.jsfund.cn/Services/cn/jsp/pcf/index.jsp?SiteID=1&fundcode=159518,2026-09-09,补充深交所或嘉实当日PCF原文件
159518,A14,字段时点一致性,"新浪镜像将现金差额标为T-1；招募书对159518写T-2，采用A级原文为准",PASS_WITH_WARNING,B,https://money.finance.sina.com.cn/fund/go.php/vAkFundInfo_JJSGSHJBXX/q/159518.phtml,2026-09-09,校验基金公司/深交所PCF字段定义
159518,A15,收盘净值计算时点,"基金管理人每个估值日对前一估值日的基金资产进行估值；收盘净值按估值程序计算",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,
159518,A16,收盘净值公告时点,"基金份额净值在T+1日内公告",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,
159518,A17,收盘净值价格口径及精度,"交易所上市有价证券以估值日收盘价估值；无交易时用最近交易日收盘价；必要时调整确定公允价格；基金份额净值保留小数点后4位，第5位四舍五入",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,
159518,A18,基金资产净值估值汇率,"正常港币/港元路径：当日中国人民银行或其授权机构公布的人民币对港币汇率中间价",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,本台账按港股通正常路径记录，不展开其他币种备用路径
159518,A19,申购补券实际结算汇率,"实际买入成本及未买入部分收盘价按汇率折算为人民币；上述汇率为汇率公允价，包括央行/授权机构人民币中间价、中国外汇交易中心参考汇率及与托管人商定的其他公允价格",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,招募书未单独指定补券结算汇率的具体取价时点
159518,A20,赎回代卖实际结算汇率,"实际卖出所得扣除交易费用并按汇率折算；未卖出部分按T日收盘价并按汇率折算；上述汇率为汇率公允价，包括央行/授权机构人民币中间价、中国外汇交易中心参考汇率及与托管人商定的其他公允价格",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,招募书未单独指定代卖结算汇率的具体取价时点
159518,A21,现金替代费用处理,"申购实际买入成本包括买入价格与交易费用；赎回实际卖出所得扣减相应交易费用",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,
159518,A22,IOPV计算公式,"基金份额参考净值由必须现金替代成份证券替代金额、可以现金替代成份证券数量与经调整的T-1日预计开盘价/T-1日标的指数涨跌幅/人民币汇率乘积之和及预估现金部分构成，再除以最小申购赎回单位对应基金份额",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,
159518,A23,IOPV证券价格口径,"公式使用经调整的T-1日预计开盘价和T-1日标的指数涨跌幅；招募书未直接表述为最新成交价",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,
159518,A24,IOPV汇率与发布机构,"招募书公式明确使用人民币汇率；基金管理人或其委托机构计算并将结果发送深圳证券交易所，由深圳证券交易所对外发布",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,IOPV条款未单独列明与收盘净值估值相同或不同的具体汇率来源
159518,A25,IOPV发布频率与精度,"开市后计算/发布；四舍五入保留小数点后3位",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-09,
159518,A26,成分股停牌处理,"PDF未将停牌成分股单独列为必须现金替代情形；如停牌导致当日无交易，未买入/未卖出部分按T日收盘价计值，当日无交易取最近交易日收盘价",PASS_WITH_WARNING,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-10,未检出停牌专门条款；如需确认停牌时是否直接纳入必须现金替代，向基金管理人/托管运营确认
159518,A27,申购对价及替代金额计算,"可以现金替代：替代金额=替代证券数量×经调整T-2日收盘价×T-2日估值汇率×（1+现金替代溢价比例）；T日日终按实际买入成本（含买入价格及交易费用）与未买入部分计值结果确定退款/补款",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-10,
159518,A28,申购补券/代买处理,"确认成功的T日申购，基金管理人在T日内买入被替代成分证券；PDF未另设T日后的补券宽限期",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-10,
159518,A29,申购未补券计价,"未买入部分按T日收盘价折算；被替代证券当日在证券交易所无交易的，取最近交易日收盘价",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-10,
159518,A30,赎回对价及替代金额计算,"全部卖出：实际卖出所得扣减交易费用后按汇率折算；未全部卖出：加上未卖出部分按T日收盘价计值后按汇率折算，确定应交付的赎回现金替代金额",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-10,
159518,A31,赎回代卖处理,"确认成功的T日赎回，基金管理人在T日内卖出相应成分证券；T日日终以实际卖出所得或未卖出部分计值结果确定赎回现金替代金额",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-10,
159518,A32,赎回未卖出计价,"未卖出部分按T日收盘价折算；被替代证券当日在证券交易所无交易的，取最近交易日收盘价",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-10,
159518,A33,必须现金替代固定金额,"必须现金替代采取固定替代金额；金额=申购赎回清单中该证券数量×经调整T-2日收盘价×T-2日估值汇率换算",PASS,A,https://static.cninfo.com.cn/finalpage/2026-01-23/1224945351.PDF,2026-09-10,
